,Questions,Answers
2429,an andy warhol drawing.,he's a famous artist.
2430,he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.
2431,he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?
2432,did he sign it?,yes.
2433,yes.,is it beautiful?
2434,is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!
2435,it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?
2436,so it's not worth much?,"only about $30,000."
2437,"only about $30,000.","without the food stains, it would probably be worth more."
2438,can we go to the baseball game?,of course.
2439,of course.,i love baseball.
2440,i love baseball.,so do i.
2441,so do i.,i love to eat the peanuts.
2442,i love to eat the peanuts.,i love to eat the hot dogs.
2443,i love to eat the hot dogs.,i hope we'll see a home run.
2444,i hope we'll see a home run.,i hope we'll catch a foul ball.
2445,i hope we'll catch a foul ball.,bring a jacket.
2446,bring a jacket.,yes. it gets a little cool at night.
2447,yes. it gets a little cool at night.,bring a glove to catch a foul ball.
2448,bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.
2449,golf is a silly game.,it certainly is.
2450,it certainly is.,you hit a white ball.
2451,you hit a white ball.,and then you chase it.
2452,and then you chase it.,and then you hit it again.
2453,and then you hit it again.,"finally, you put the ball into a hole in the ground."
2454,"finally, you put the ball into a hole in the ground.","you do this 18 times, because there are 18 holes."
2455,"you do this 18 times, because there are 18 holes.",what's the point?
2456,what's the point?,how can it be fun?
2457,how can it be fun?,they pay money to play this silly game!
2458,they pay money to play this silly game!,i think golfers have a mental problem.
2459,i think golfers have a mental problem.,i think they're nuts.
2460,do you want to go fishing?,yes. that's a good idea.
2461,yes. that's a good idea.,where do you want to go?
2462,where do you want to go?,we can go to the river.
2463,we can go to the river.,or we can go to the lake.
2464,or we can go to the lake.,or we can go to the ocean.
2465,or we can go to the ocean.,let's go to the lake.
2466,let's go to the lake.,yes. the lake is only 10 miles away.
2467,yes. the lake is only 10 miles away.,we can be there in 20 minutes.
2468,we can be there in 20 minutes.,i'll get our fishing rods.
2469,i'll get our fishing rods.,i'll get the bait.
2470,i'll get the bait.,we'll have fresh fish for dinner!
2471,baseball is fun.,i like to hit the ball.
2472,i like to hit the ball.,i like to run around the bases.
2473,i like to run around the bases.,i like to slide into the bases.
2474,i like to slide into the bases.,yeah. it's a lot of fun to slide.
2475,yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.
2476,i want to be a baseball player when i grow up.,me too. i want to play for the yankees.
2477,me too. i want to play for the yankees.,not me. i want to play for the dodgers.
2478,not me. i want to play for the dodgers.,we have to practice every day.
2479,we have to practice every day.,i don't like practice.
2480,i don't like practice.,me neither. it's boring.
2481,me neither. it's boring.,but practice makes perfect.
2482,let's go jogging.,that's a good idea.
2483,that's a good idea.,i bought some new shoes.
2484,i bought some new shoes.,are they comfortable?
2485,are they comfortable?,they're very comfortable.
2486,they're very comfortable.,how much were they?
2487,how much were they?,they were on sale for $80.
2488,they were on sale for $80.,do they help you run faster?
2489,do they help you run faster?,"no, but my feet don't hurt anymore."
2490,"no, but my feet don't hurt anymore.",then they're worth every penny.
2491,then they're worth every penny.,you might want to buy a pair.
2492,you might want to buy a pair.,i'll wait until i wear this pair out.
2493,tiger is the greatest golfer in the world.,you can say that again.
2494,you can say that again.,but i'm worried about tiger.
2495,but i'm worried about tiger.,why is that?
2496,why is that?,because he likes to scuba dive.
2497,because he likes to scuba dive.,what's wrong with that?
2498,what's wrong with that?,it can be dangerous.
2499,it can be dangerous.,you mean he could drown.
2500,you mean he could drown.,he shouldn't scuba dive until he retires.
2501,he shouldn't scuba dive until he retires.,but he dives to relax.
2502,but he dives to relax.,"he might relax, but it makes me nervous."
2503,"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
2504,did you watch that golf tournament?,the one that tiger won?
2505,the one that tiger won?,how did he do it?
2506,how did he do it?,it was nothing for him.
2507,it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
2508,he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
2509,he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
2510,i think he is from outer space.,no human could possibly play golf that well.
2511,no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
2512,"whenever he needs a shot to win a tournament, he makes that shot.",no human can do that.
2513,no human can do that.,somebody should check his birth record.
2514,somebody should check his birth record.,i bet it says he was born on mars.
2515,who's the greatest baseball player?,there are so many great players.
2516,there are so many great players.,"yes, but who is the greatest?"
2517,"yes, but who is the greatest?",i'd have to say babe ruth.
2518,i'd have to say babe ruth.,most people would say that.
2519,most people would say that.,he changed the game.
2520,he changed the game.,"yes, he made the home run popular."
2521,"yes, he made the home run popular.","everybody loved him, all over the nation."
2522,"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
2523,he helped make the yankees the best team ever.,"and ruth was a good person, too."
2524,"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
2525,he always visited hospitals to cheer up sick kids.,there will never be another babe.
2526,did you hear what happened at the baseball game?,"no, please tell me."
2527,"no, please tell me.",someone punched out someone.
2528,someone punched out someone.,that's not nice.
2529,that's not nice.,it's worse than that.
2530,it's worse than that.,how so?
2531,how so?,two guys got into an argument.
2532,two guys got into an argument.,i'll bet they were drinking.
2533,i'll bet they were drinking.,a third guy punched one of the two guys.
2534,a third guy punched one of the two guys.,"i'll bet he was drinking, too."
2535,"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
2536,the victim hit his head on the concrete steps and died.,that's terrible. can't people just have fun at a baseball game?
2537,i want to go to the ball game.,is there a game tonight?
2538,is there a game tonight?,"yes, it starts at 7 p.m."
2539,"yes, it starts at 7 p.m.",can we get tickets?
2540,can we get tickets?,"yes, but only the cheap tickets."
2541,"yes, but only the cheap tickets.",how much are they?
2542,how much are they?,they're only $5 each.
2543,they're only $5 each.,that's a good price.
2544,that's a good price.,"yes, it's cheaper than a hot dog or a beer."
2545,"yes, it's cheaper than a hot dog or a beer.",where are the seats?
